genus	freq_nonzero_c1	sign_consistency_c1	freq_nonzero_c2	sign_consistency_c2	freq_nonzero_c3	sign_consistency_c3	cross_cohort_sign_consistent	bh_qvalue
Oceanimonas	0		0		0			1.0
Orbivirus	0		0		0			1.0
Oricola	0		0		0			1.0
Orientia	0		0		0			1.0
Ornithinimicrobium	0		0		0			1.0
Oceanisphaera	0		0		0			1.0
Ornithobacterium	0		0		0			1.0
Orthoavulavirus	0		0		0			1.0
Orthobornavirus	0		0		0			1.0
Orthobunyavirus	0		0		0			1.0
Orthoflavivirus	0		0		0			1.0
Orthohantavirus	0		0		0			1.0
Oceanihabitans	0		0		0			1.0
Orrella	0		0		0			1.0
Oceanidesulfovibrio	0		0		0			1.0
Opitutus	0		0		0			1.0
Oceanispirochaeta	0		0		0			1.0
Oceanotoga	0		0		0			1.0
Oecophyllibacter	0		0		0			1.0
Oengusvirus	0		0		0			1.0
Oenococcus	0		0		0			1.0
Oerskovia	0		0		0			1.0
Oleidesulfovibrio	0		0		0			1.0
Oneupvirus	0		0		0			1.0
Oleiphilus	0		0		0			1.0
Olivibacter	0		0		0			1.0
Oceanobacillus	0		0		0			1.0
Olleya	0		0		0			1.0
Olsenella	0		0		0			1.0
Omegavirus	0		0		0			1.0
Oceanithermus	0		0		0			1.0
Oligella	0		0		0			1.0
Oceanicola	0		0		0			1.0
Orthohepadnavirus	0		0		0			1.0
Orthonairovirus	0		0		0			1.0
Pacificitalea	0		0		0			1.0
Pacinivirus	0		0		0			1.0
Pacuvirus	0		0		0			1.0
Paenalcaligenes	0		0		0			1.0
Obesumbacterium	0		0		0			1.0
Nymphadoravirus	0		0		0			1.0
Pacehavirus	0		0		0			1.0
Novosphingopyxis	0		0		0			1.0
Paenarthrobacter	0		0		0			1.0
Novosphingobium	0		0		0			1.0
Paeniclostridium	0		0		0			1.0
Novosibvirus	0		0		0			1.0
Noviherbaspirillum	0		0		0			1.0
Odonatavirus	0		0		0			1.0
Paenalkalicoccus	0		0		0			1.0
Oxynema	0		0		0			1.0
Obolenskvirus	0		0		0			1.0
Oxychlovirus	0		0		0			1.0
Orthophasmavirus	0		0		0			1.0
Orthopoxvirus	0		0		0			1.0
Oceanicoccus	0		0		0			1.0
Parvicella	0		0		0			1.0
Orthotospovirus	0		0		0			1.0
Oryzomicrobium	0		0		0			1.0
Oryzopoxvirus	0		0		0			1.0
Occultella	0		0		0			1.0
Oscillatoria	0		0		0			1.0
Occallatibacter	0		0		0			1.0
Ostreavirus	0		0		0			1.0
Otagovirus	0		0		0			1.0
Otariodibacter	0		0		0			1.0
Ottowia	0		0		0			1.0
Owenweeksia	0		0		0			1.0
Pagevirus	0		0		0			1.0
Orthoreovirus	0		0		0			1.0
Abidjanvirus	0		0		0			1.0
Parvularcula	0		0		0			1.0
Pollockvirus	0		0		0			1.0
Pollyceevirus	0		0		0			1.0
Polyangium	0		0		0			1.0
Polybotosvirus	0		0		0			1.0
Polycladomyces	0		0		0			1.0
Polymorphobacter	0		0		0			1.0
Polymorphospora	0		0		0			1.0
Polymorphum	0		0		0			1.0
Polynucleobacter	0		0		0			1.0
Polystyrenella	0		0		0			1.0
Pontibacillus	0		0		0			1.0
Pontibacter	0		0		0			1.0
Pontibrevibacter	0		0		0			1.0
Ponticoccus	0		0		0			1.0
Pontimonas	0		0		0			1.0
Pontivivens	0		0		0			1.0
Poriferisphaera	0		0		0			1.0
Polaromonas	0		0		0			1.0
Polaribacter	0		0		0			1.0
Pokrovskaiavirus	0		0		0			1.0
Pogseptimavirus	0		0		0			1.0
Piscinibacter	0		0		0			1.0
Piscirickettsia	0		0		0			1.0
Pistricoccus	0		0		0			1.0
Pithovirus	0		0		0			1.0
Planctomyces	0		0		0			1.0
Planctopirus	0		0		0			1.0
Planktothrix	0		0		0			1.0
Planococcus	0		0		0			1.0
Porphyrobacter	0		0		0			1.0
Plantactinospora	0		0		0			1.0
Plasmopamonavirus	0		0		0			1.0
Plateaulakevirus	0		0		0			1.0
Pleakleyvirus	0		0		0			1.0
Pleetrevirus	0		0		0			1.0
Plesiomonas	0		0		0			1.0
Pleurocapsa	0		0		0			1.0
Plotvirus	0		0		0			1.0
Pluralibacter	0		0		0			1.0
Plantibacter	0		0		0			1.0
Pirellulimonas	0		0		0			1.0
Poseidonibacter	0		0		0			1.0
Potexvirus	0		0		0			1.0
Providencia	0		0		0			1.0
Prymnesiovirus	0		0		0			1.0
Przondovirus	0		0		0			1.0
Pseudactinotalea	0		0		0			1.0
Pseudalkalibacillus	0		0		0			1.0
Pseudanabaena	0		0		0			1.0
Pseudarthrobacter	0		0		0			1.0
Pseudazoarcus	0		0		0			1.0
Pseudemcibacter	0		0		0			1.0
Pseudescherichia	0		0		0			1.0
Pseudoalteromonas	0		0		0			1.0
Pseudobacter	0		0		0			1.0
Pseudobdellovibrio	0		0		0			1.0
Pseudobutyrivibrio	0		7	1.0	0			1.0
Pseudochrobactrum	0		0		0			1.0
Pseudocitrobacter	0		0		0			1.0
Pseudoclavibacter	0		0		0			1.0
Protofrankia	0		0		0			1.0
Proteus	0		0		0			1.0
Proteiniphilum	0		0		0			1.0
Proteiniclasticum	0		0		0			1.0
Potyvirus	0		0		0			1.0
Pourcelvirus	0		0		0			1.0
Pradoshia	0		0		0			1.0
Pradovirus	0		0		0			1.0
Pragia	0		0		0			1.0
Prasinovirus	0		0		0			1.0
Prauserella	0		0		0			1.0
Predatorvirus	0		0		0			1.0
Pospiviroid	0		0		0			1.0
Prescottella	0		0		0			1.0
Privateervirus	0		0		0			1.0
Proboscivirus	0		0		0			1.0
Prochlorococcus	0		0		0			1.0
Profundibacter	0		0		0			1.0
Propionibacterium	0		0		0			1.0
Propioniciclava	0		0		0			1.0
Prosthecochloris	0		0		0			1.0
Protaetiibacter	0		0		0			1.0
Priestia	0		0		0			1.0
Parvimonas	0		0		0			1.0
Pirellula	0		0		0			1.0
Pipoluvirus	0		0		0			1.0
Pelodictyon	0		0		0			1.0
Pelolinea	0		0		0			1.0
Pelosinus	0		0		0			1.0
Pengzhenrongella	0		0		0			1.0
Peptacetobacter	0		0		0			1.0
Peptoclostridium	0		0		0			1.0
Peptoniphilus	0		0		0			1.0
Peptostreptococcus	0		0		0			1.0
Percavirus	0		0		0			1.0
Peribacillus	0		0		0			1.0
Perisivirus	0		0		0			1.0
Periweissella	0		0		0			1.0
Permianibacter	0		0		0			1.0
Persephonella	0		0		0			1.0
Persicimonas	0		0		0			1.0
Persicobacter	0		0		0			1.0
Pestivirus	0		0		0			1.0
Pelobacter	0		0		0			1.0
Pelistega	0		0		0			1.0
Pelagovum	0		0		0			1.0
Pelagivirus	0		0		0			1.0
Pasteurella	0		0		0			1.0
Paucibacter	0		0		0			1.0
Paucilactobacillus	0		0		0			1.0
Pauljensenia	0		0		0			1.0
Paundivirus	0		0		0			1.0
Pbunavirus	0		0		0			1.0
Peatvirus	0		0		0			1.0
Pebcunavirus	0		0		0			1.0
Peterkaempfera	0		0		0			1.0
Pectinatus	0		0		0			1.0
Pediococcus	0		0		0			1.0
Pedobacter	0		0		0			1.0
Pedococcus	0		0		0			1.0
Peduovirus	0		0		0			1.0
Pegivirus	0		0		0			1.0
Nocardia	0		0		0			1.0
Pelagerythrobacter	0		0		0			1.0
Pelagibacterium	0		0		0			1.0
Pectobacterium	0		0		0			1.0
Pippivirus	0		0		0			1.0
Peteryoungia	0		0		0			1.0
Petrocella	0		0		0			1.0
Photorhabdus	0		0		0			1.0
Phototrophicus	0		0		0			1.0
Phrappuccinovirus	0		0		0			1.0
Phreatobacter	0		0		0			1.0
Phycicoccus	0		0		0			1.0
Phycisphaera	0		0		0			1.0
Phyllobacterium	0		0		0			1.0
Phytobacter	0		0		0			1.0
Phytohabitans	0		0		0			1.0
Phytoreovirus	0		0		0			1.0
Picrophilus	0		0		0			1.0
Pigmentibacter	0		0		0			1.0
Pigmentiphaga	0		0		0			1.0
Pijolavirus	0		0		0			1.0
Pikeienuella	0		0		0			1.0
Pimelobacter	0		0		0			1.0
Pipefishvirus	0		0		0			1.0
Photobacterium	0		0		0			1.0
Phormidium	0		0		0			1.0
Phoenicibacter	0		0		0			1.0
Phocaeicola	0		0		0			1.0
Petroclostridium	0		0		0			1.0
Petrotoga	0		0		0			1.0
Petsuvirus	0		0		0			1.0
Phabquatrovirus	0		0		0			1.0
Phaeobacter	0		0		0			1.0
Phaeovirus	0		0		0			1.0
Phapecoctavirus	0		0		0			1.0
Phascolarctobacterium	15	0.8	40	1.0	38	0.026	False	1.0
Petrimonas	0		0		0			1.0
Phasivirus	0		0		0			1.0
Phenylobacterium	0		0		0			1.0
Phietavirus	0		0		0			1.0
Phikmvvirus	0		0		0			1.0
Phikzvirus	0		0		0			1.0
Phlebovirus	0		0		0			1.0
Phleivirus	0		0		0			1.0
Phnomibacter	0		0		0			1.0
Phobosvirus	0		0		0			1.0
Phayoncevirus	0		0		0			1.0
Pegunavirus	0		0		0			1.0
Nitrosarchaeum	0		0		0			1.0
Niveibacterium	0		0		0			1.0
Mastadenovirus	0		0		0			1.0
Matsuvirus	0		0		0			1.0
Mazuvirus	0		0		0			1.0
Mediterraneibacter	0		0		0			1.0
Megalocytivirus	0		0		0			1.0
Megalodesulfovibrio	0		0		0			1.0
Megasphaera	0		17	0.647	0			1.0
Meiothermus	0		0		0			1.0
Melaminivora	0		0		0			1.0
Melioribacter	0		0		0			1.0
Melissococcus	0		0		0			1.0
Melittangium	0		0		0			1.0
Mementomorivirus	0		0		0			1.0
Menderavirus	0		0		0			1.0
Mergibacter	0		0		0			1.0
Mesobacillus	0		0		0			1.0
Mesoflavibacter	0		0		0			1.0
Massilia	0		0		0			1.0
Marvinbryantia	0		38	0.0	39	1.0	False	1.0
Marthavirus	0		0		0			1.0
Martelella	0		0		0			1.0
Marinicauda	0		0		0			1.0
Mariniflexile	0		0		0			1.0
Marinilactibacillus	0		0		0			1.0
Marinilongibacter	0		0		0			1.0
Marinimicrobium	0		0		0			1.0
Mariniplasma	0		0		0			1.0
Marinithermus	0		0		0			1.0
Marinitoga	0		0		0			1.0
Mesomycoplasma	0		0		0			1.0
Marinobacter	0		0		0			1.0
Marinomonas	0		0		0			1.0
Mariprofundus	0		0		0			1.0
Marisediminicola	0		0		0			1.0
Maritalea	0		0		0			1.0
Marivirga	0		0		0			1.0
Marixanthomonas	0		0		0			1.0
Marmoricola	0		0		0			1.0
Marseillevirus	0		0		0			1.0
Marinobacterium	0		0		0			1.0
Mesoplasma	0		0		0			1.0
Mesorhizobium	0		0		0			1.0
Mesotoga	0		0		0			1.0
Methanolobus	0		0		0			1.0
Methanomassiliicoccus	0		0		0			1.0
Methanomethylovorans	0		0		0			1.0
Methanomicrobium	0		0		0			1.0
Methanonatronarchaeum	0		0		0			1.0
Methanoplanus	0		0		0			1.0
Methanopyrus	0		0		0			1.0
Methanoregula	0		0		0			1.0
Methanolacinia	0		0		0			1.0
Methanosalsum	0		0		0			1.0
Methanosphaera	0		0		0			1.0
Methanosphaerula	0		0		0			1.0
Methanospirillum	0		0		0			1.0
Methanothermobacter	0		0		0			1.0
Methanothermococcus	0		0		0			1.0
Methanothermus	0		0		0			1.0
Methanothrix	0		0		0			1.0
Methanotorris	0		0		0			1.0
Methanosarcina	0		0		0			1.0
Mariniblastus	0		0		0			1.0
Methanohalophilus	0		0		0			1.0
Methanogenium	0		0		0			1.0
Metaavulavirus	0		0		0			1.0
Metabacillus	0		0		0			1.0
Metakosakonia	0		0		0			1.0
Metallibacterium	0		0		0			1.0
Metallosphaera	0		0		0			1.0
Metamorphoovirus	0		0		0			1.0
Metamycoplasma	0		0		0			1.0
Metapneumovirus	0		0		0			1.0
Methanohalobium	0		0		0			1.0
Methanobacterium	0		0		0			1.0
Methanocaldococcus	0		0		0			1.0
Methanocella	0		0		0			1.0
Methanococcoides	0		0		0			1.0
Methanococcus	0		0		0			1.0
Methanocorpusculum	0		0		0			1.0
Methanoculleus	0		0		0			1.0
Methanofervidicoccus	0		0		0			1.0
Methanofollis	0		0		0			1.0
Methanobrevibacter	39	0.0	39	1.0	15	0.267	False	1.0
Marinagarivorans	0		0		0			1.0
Maridesulfovibrio	0		0		0			1.0
Marichromatium	0		0		0			1.0
Liquorilactobacillus	0		0		0			1.0
Listeria	0		0		0			1.0
Litorilituus	0		0		0			1.0
Litorivicinus	0		0		0			1.0
Littlefixvirus	0		0		0			1.0
Llyrvirus	0		0		0			1.0
Lobdovirus	0		0		0			1.0
Loessnervirus	0		0		0			1.0
Lipsvirus	0		0		0			1.0
Loigolactobacillus	0		0		0			1.0
Loktanella	0		0		0			1.0
Longicatena	38	0.0	0		25	0.96		1.0
Lonsdalea	0		0		0			1.0
Luckybarnesvirus	0		0		0			1.0
Lughvirus	0		0		0			1.0
Lullwatervirus	0		0		0			1.0
Lumosvirus	0		0		0			1.0
Luteibacter	0		0		0			1.0
Lokivirus	0		0		0			1.0
Luteimicrobium	0		0		0			1.0
Lincruvirus	0		0		0			1.0
Limnothrix	0		0		0			1.0
Levilactobacillus	0		0		0			1.0
Liberibacter	0		0		0			1.0
Lichenicola	0		0		0			1.0
Lichenihabitans	0		0		0			1.0
Lidleunavirus	0		0		0			1.0
Lignipirellula	0		0		0			1.0
Likavirus	0		0		0			1.0
Lillamyvirus	0		0		0			1.0
Limosilactobacillus	34	0.0	40	1.0	0		False	1.0
Lilmcdreamyvirus	0		0		0			1.0
Limihaloglobus	0		0		0			1.0
Limimaricola	0		0		0			1.0
Limnobacter	0		0		0			1.0
Limnobaculum	0		0		0			1.0
Limnochorda	0		0		0			1.0
Limnoglobus	0		0		0			1.0
Limnohabitans	0		0		0			1.0
Limnospira	0		0		0			1.0
Limdunavirus	0		0		0			1.0
Methylacidimicrobium	0		0		0			1.0
Luteimonas	0		0		0			1.0
Luteitalea	0		0		0			1.0
Makelovirus	0		0		0			1.0
Malaciobacter	0		0		0			1.0
Malacoplasma	0		0		0			1.0
Mameliella	0		0		0			1.0
Mammaliicoccus	0		0		0			1.0
Mangrovibacillus	0		0		0			1.0
Mangrovivirga	0		0		0			1.0
Manhattanvirus	0		0		0			1.0
Maioricimonas	0		0		0			1.0
Mannheimia	0		0		0			1.0
Marafivirus	0		0		0			1.0
Mardecavirus	0		0		0			1.0
Mardivirus	0		0		0			1.0
Marfavirus	0		0		0			1.0
Maribacter	0		0		0			1.0
Maribellus	0		0		0			1.0
Maribius	0		0		0			1.0
Maricaulis	0		0		0			1.0
Manticavirus	0		0		0			1.0
Luteipulveratus	0		0		0			1.0
Mahstovirus	0		0		0			1.0
Mahella	0		0		0			1.0
Luteithermobacter	0		0		0			1.0
Luteolibacter	0		0		0			1.0
Lutibacter	0		0		0			1.0
Lwoffvirus	0		0		0			1.0
Lymphocryptovirus	0		0		0			1.0
Lymphocystivirus	0		0		0			1.0
Lyngbya	0		0		0			1.0
Lysinibacillus	0		0		0			1.0
Mahlunavirus	0		0		0			1.0
Lysobacter	0		0		0			1.0
Macavirus	0		0		0			1.0
Macrococcus	0		0		0			1.0
Macropopoxvirus	0		0		0			1.0
Maenadvirus	0		0		0			1.0
Mageeibacillus	0		0		0			1.0
Magnetococcus	0		0		0			1.0
Magnetospira	0		0		0			1.0
Magnetospirillum	0		0		0			1.0
Macariavirus	0		0		0			1.0
Methylacidiphilum	0		0		0			1.0
Methylibium	0		0		0			1.0
Methylobacillus	0		0		0			1.0
Namakavirus	0		0		0			1.0
Nanchangia	0		0		0			1.0
Nannocystis	0		0		0			1.0
Nanobdella	0		0		0			1.0
Natranaeroarchaeum	0		0		0			1.0
Natranaerobius	0		0		0			1.0
Natranaerofaba	0		0		0			1.0
Natrarchaeobaculum	0		0		0			1.0
Nakamurella	0		0		0			1.0
Natrialba	0		0		0			1.0
Natrinema	0		0		0			1.0
Natronobacterium	0		0		0			1.0
Natronobiforma	0		0		0			1.0
Natronococcus	0		0		0			1.0
Natronoglycomyces	0		0		0			1.0
Natronomonas	0		0		0			1.0
Natronorubrum	0		0		0			1.0
Natronosporangium	0		0		0			1.0
Natribaculum	0		0		0			1.0
Nautilia	0		0		0			1.0
Nahantvirus	0		0		0			1.0
Myxococcus	0		0		0			1.0
Musicola	0		0		0			1.0
Muvirus	0		0		0			1.0
Mycetocola	0		0		0			1.0
Mycetohabitans	0		0		0			1.0
Mycoavidus	0		0		0			1.0
Mycobacterium	0		0		0			1.0
Mycobacteroides	0		0		0			1.0
Mycolicibacillus	0		0		0			1.0
Naegleria	0		0		0			1.0
Mycolicibacter	0		0		0			1.0
Mycoplasma	0		0		0			1.0
Mycoplasmoides	0		0		0			1.0
Mycoplasmopsis	0		0		0			1.0
Mydovirus	0		0		0			1.0
Myoalterovirus	0		0		0			1.0
Myohalovirus	0		0		0			1.0
Myrnavirus	0		0		0			1.0
Myroides	0		0		0			1.0
Mycolicibacterium	0		0		0			1.0
Muscodensovirus	0		0		0			1.0
Ndongobacter	0		0		0			1.0
Neisseria	0		10	0.1	0			1.0
Nisaea	0		0		0			1.0
Nissabacter	0		0		0			1.0
Nitratifractor	0		0		0			1.0
Nitratireductor	0		0		0			1.0
Nitratiruptor	0		0		0			1.0
Nitrincola	0		0		0			1.0
Nitrobacter	0		0		0			1.0
Nitrogeniibacter	0		0		0			1.0
Nilusvirus	0		0		0			1.0
Pseudoclostridium	0		0		0			1.0
Nitrosomonas	0		0		0			1.0
Nitrosophilus	0		0		0			1.0
Nitrosopumilus	0		0		0			1.0
Nitrososphaera	0		0		0			1.0
Nitrosospira	0		0		0			1.0
Nitrospina	0		0		0			1.0
Nitrospira	0		0		0			1.0
Nitrospirillum	0		0		0			1.0
Nitrosococcus	0		0		0			1.0
Neferthenavirus	0		0		0			1.0
Nicoliella	0		0		0			1.0
Nibricoccus	0		0		0			1.0
Neoasaia	0		0		0			1.0
Neobacillus	0		0		0			1.0
Neochlamydia	0		0		0			1.0
Neokomagataea	0		0		0			1.0
Neomicrococcus	0		0		0			1.0
Neorhizobium	0		0		0			1.0
Neorickettsia	0		0		0			1.0
Neotabrizicola	0		0		0			1.0
Nickievirus	0		0		0			1.0
Nepovirus	0		0		0			1.0
Neptunomonas	0		0		0			1.0
Nesevirus	0		0		0			1.0
Nesterenkonia	0		0		0			1.0
Nevevirus	0		0		0			1.0
Niabella	0		0		0			1.0
Niallia	0		0		0			1.0
Niastella	0		0		0			1.0
Nibribacter	0		0		0			1.0
Neptunevirus	0		0		0			1.0
Niveispirillum	0		0		0			1.0
Murrayvirus	0		0		0			1.0
Muriicola	0		0		0			1.0
Methylovirgula	0		0		0			1.0
Methylovorus	0		0		0			1.0
Methylovulum	0		0		0			1.0
Metrivirus	0		0		0			1.0
Micavibrio	0		0		0			1.0
Micavirus	0		0		0			1.0
Microbacter	0		0		0			1.0
Microbacterium	0		0		0			1.0
Methyloversatilis	0		0		0			1.0
Microbulbifer	0		0		0			1.0
Micrococcus	0		0		0			1.0
Microcystis	0		0		0			1.0
Microlunatus	0		0		0			1.0
Micromonospora	0		0		0			1.0
Micropruina	0		0		0			1.0
Microscilla	0		0		0			1.0
Microterricola	0		0		0			1.0
Microvenator	0		0		0			1.0
Microcella	0		0		0			1.0
Microvirga	0		0		0			1.0
Methylotuvimicrobium	0		0		0			1.0
Methylosinus	0		0		0			1.0
Methylobacter	0		0		0			1.0
Methylobacterium	0		0		0			1.0
Methylocaldum	0		0		0			1.0
Methylocapsa	0		0		0			1.0
Methyloceanibacter	0		0		0			1.0
Methylocella	0		0		0			1.0
Methylococcus	0		0		0			1.0
Methylocystis	0		0		0			1.0
Methylotenera	0		0		0			1.0
Methylogaea	0		0		0			1.0
Methylomagnum	0		0		0			1.0
Methylomicrobium	0		0		0			1.0
Methylomonas	0		0		0			1.0
Methylomusa	0		0		0			1.0
Methylophaga	0		0		0			1.0
Methylophilus	0		0		0			1.0
Methyloradius	0		0		0			1.0
Methylorubrum	0		0		0			1.0
Methyloligella	0		0		0			1.0
Muromegalovirus	0		0		0			1.0
Microvirgula	0		0		0			1.0
Miltoncostaea	0		0		0			1.0
Moorella	0		0		0			1.0
Moorena	0		0		0			1.0
Mooreparkvirus	0		0		0			1.0
Moraxella	0		0		0			1.0
Morganella	0		0		0			1.0
Moritella	0		0		0			1.0
Morococcus	0		0		0			1.0
Mosigvirus	0		0		0			1.0
Moonvirus	0		0		0			1.0
Mosugukvirus	0		0		0			1.0
Mucisphaera	0		0		0			1.0
Mucispirillum	0		0		0			1.0
Mudcatvirus	0		0		0			1.0
Mufasoctovirus	0		0		0			1.0
Mumia	0		0		0			1.0
Murciavirus	0		0		0			1.0
Murdochiella	0		0		0			1.0
Muricauda	0		0		0			1.0
Mucilaginibacter	0		0		0			1.0
Microwolfvirus	0		0		0			1.0
Mooglevirus	0		0		0			1.0
Monoglobus	37	0.0	40	1.0	17	0.0	False	1.0
Miltonvirus	0		0		0			1.0
Mimasvirus	0		0		0			1.0
Mimivirus	0		0		0			1.0
Mingyongvirus	0		0		0			1.0
Minhovirus	0		0		0			1.0
Miniimonas	0		0		0			1.0
Miniphocaeibacter	0		0		0			1.0
Minwuia	0		0		0			1.0
Montyvirus	0		0		0			1.0
Mitsuaria	0		0		0			1.0
Moabitevirus	0		0		0			1.0
Mobiluncus	0		0		0			1.0
Modestobacter	0		0		0			1.0
Moellerella	0		0		0			1.0
Mogibacterium	0		0		0			1.0
Moineauvirus	0		0		0			1.0
Mollyvirus	0		0		0			1.0
